,discuss,mean_twice0,mean_twice1,"('Attract customers', 'Product pricing', 'Lower cost', 'Product types', 'Location', 'Where to buy', 'Record keeping', 'New investments', 'Hours', 'Take out loans')"
0,1,0.6951219,0.7086614,Attract customers
1,2,0.1428571,0.1590909,Product pricing
2,3,0.1578947,0.1923077,Lower cost
3,4,0.1538462,0.1578947,Product types
4,5,0.2,0.1388889,Location
5,6,0.1,0.1707317,Where to buy
6,7,0.4313726,0.4246575,Record keeping
7,8,0.1578947,0.1538461,New investments
8,9,0.0,0.09375,Hours
9,10,0.0,0.0,Take out loans
